street_number,latitude,longitude,name_and_business,count,icon
273a,-31.947473420000000,115.860174700000000,Mrs M Cohen. Refreshment Rooms,30,icon_1915
381a,-31.945577369999900,115.861352600000000,"Walter H Wilcocks, Hairdresser",30,icon_1915
362,-31.945412149999900,115.861838800000000,"Walter J Bevan, Boarding House",30,icon_1915
184,-31.949639879999900,115.859283199999000,Dennis Florias. Oyster Saloon,29,icon_1915
249,-31.947875140000000,115.859895400000000,Francis P Barrett. Smallgoods,29,icon_1915
181,-31.949544889999900,115.858679600000000,Humphreys & Maplestone. Dairy,29,icon_1915
371,-31.944905290000000,115.861760200000000,Jno. A Gardner. Music Teacher,29,icon_1915
372,-31.945165840000000,115.861965900000000,Mrs A. E Welch. Lodging House,29,icon_1915
225,-31.948344599999900,115.859376999999000,Mrs E L Ethell. Lodging house,29,icon_1915
387,-31.944507730000000,115.861814600000000,Mrs J Fulcher. Dairy Products,29,icon_1915
214,-31.948891520000000,115.859785600000000,"Edwin J White, Lodging House",28,icon_1915
206,-31.949127180000000,115.859631900000000,Ernest J Foreman. Restaurant,28,icon_1915
185,-31.949449200000000,115.858552600000000,Guildford Bec Co. (C. Jecks),28,icon_1915
354,-31.945550650000000,115.861876200000000,Miss M Gheelan. Confectioner,28,icon_1915
413,-31.944103089999900,115.862278100000000,"Miss M Maclean, Confectioner",28,icon_1915
382,-31.945034759999900,115.862429700000000,Mrs E Gibson. Loarding House,28,icon_1915
224,-31.948656310000000,115.859959700000000,"Mrs J Slater, Boarding house",28,icon_1915
177,-31.949498060000000,115.858509700000000,Mrs M Faulkner. A. N. A Cafe,28,icon_1915
367,-31.944964100000000,115.861404500000000,Mrs M Simpson. Lodging house,28,icon_1915
402,-31.944585950000000,115.862665500000000,"Mrs S Musakhan, Confectioner",28,icon_1915
420,-31.944151030000000,115.862894999999000,Sydney Simmons. Horse Dealer,28,icon_1915
277,-31.947284300000000,115.860141300000000,"T. Walton Jones, Storekeeper",28,icon_1915
281,-31.947219019999900,115.860018600000000,"T. Walton Jones, Storekeeper",28,icon_1915
281a,-31.947475760000000,115.860474600000000,"T. Walton Jones, Storekeeper",28,icon_1915
188,-31.949512609999900,115.859213400000000,William Hooper. Watch Makers,28,icon_1915
284,-31.947208530000000,115.860689600000000,"Bennett & Burnside, Grocers",27,icon_1915
423,-31.943743649999900,115.862202800000000,Henry B. Abbott. Contractor,27,icon_1915
441,-31.943369319999900,115.862779399999000,Jno. F Fahey. Lodging House,27,icon_1915
218,-31.948785070000000,115.859783600000000,Miss A Moran. Lodging house,27,icon_1915
389,-31.944614510000000,115.861956600000000,Mrs A Turrell. Confectioner,27,icon_1915
269,-31.947402640000000,115.860035800000000,"Sutherland & son, Engineers",27,icon_1915
207,-31.948870260000000,115.859254600000000,Hing Wing & Co. Fruiterers,26,icon_1915
339 (off),-31.947008550000000,115.861034900000000,Jno. H .Thorne. Blacksmith,26,icon_1915
196,-31.949438789999900,115.859447399999000,"Maurice J Fieldman, Dealer",26,icon_1915
239,-31.948225000000000,115.859607900000000,Miss K F Davern. Stationer,26,icon_1915
286a,-31.947293389999900,115.860907900000000,"Percy Rowe, Dyer & Cleaner",26,icon_1915
187,-31.949445269999900,115.858714800000000,A Passaris. Oyster Saloon,25,icon_1915
185b,-31.949461450000000,115.858630400000000,Cooper & Sellin. Painters,25,icon_1915
434,-31.943774959999900,115.863009800000000,Dunn Bros. Horse Dealers ,25,icon_1915
287,-31.946923080000000,115.860298500000000,George. M Dow. Pastrycook,25,icon_1915
189,-31.949238650000000,115.858669199999000,Harry T Dermer. Stationer,25,icon_1915
252,-31.947962730000000,115.860325399999000,Jno Duffy. Boarding House,25,icon_1915
425,-31.943837420000000,115.862405000000000,Miss B Barry. Storekeeper,25,icon_1915
270,-31.947555600000000,115.860435600000000,Mrs D Gotlieb. Dressmaker,25,icon_1915
394,-31.944627090000000,115.862251700000000,"Percy, Sara & Co, Grocers",25,icon_1915
396,-31.944679890000000,115.862386400000000,"Percy, Sara & Co, Grocers",25,icon_1915
411,-31.944014760000000,115.862141500000000,Railton Street. Bootmaker,25,icon_1915
229,-31.948443189999900,115.859576399999000,"Thos White, Lodging house",25,icon_1915
322,-31.946248539999900,115.861308800000000,Thos. Gordon. Cycle Works,25,icon_1915
324,-31.946281400000000,115.861570700000000,Thos. Gordon. Cycle Works,25,icon_1915
186,-31.949644780000000,115.859382299999000,Victor Tomic. Wine Saloon,25,icon_1915
195,-31.949201089999900,115.858877100000000,Albert Weaver. Bootmaker,24,icon_1915
183,-31.949510539999900,115.858606100000000,Alla j. Butt. Watchmaker,24,icon_1915
393,-31.944465300000000,115.862060200000000,Ambrose H Major. Butcher,24,icon_1915
261,-31.947538580000000,115.859893200000000,Earnest Matthews. Dealer,24,icon_1915
232,-31.948538750000000,115.860051799999000,J G W Vernon. Smallgoods,24,icon_1915
197,-31.949200980000000,115.858961200000000,Mrs Alice Loy. Tea Rooms,24,icon_1915
385,-31.944438829999900,115.861700900000000,Mrs E Franks. Dressmaker,24,icon_1915
342,-31.945898979999900,115.861682100000000,Mrs G Stone. Storekeeper,24,icon_1915
227,-31.948345610000000,115.859229400000000,Walter C Alldis. Butcher,24,icon_1915
202,-31.949264889999900,115.859625100000000,"David Rosen, pawnbroker",23,icon_1915
432,-31.943704570000000,115.862836500000000,Mandel Brown. Bootmaker,23,icon_1915
219,-31.948527129999900,115.859342799999000,Power Bros. Plumbers &c,23,icon_1915
310,-31.946732740000000,115.861187599999000,"Ben Jones, Boot Dealer",22,icon_1915
312,-31.946590690000000,115.861053100000000,"Ben Jones, Boot Dealer",22,icon_1915
421,-31.943928889999900,115.862377600000000,"Cecil D Baker, Painter",22,icon_1915
223,-31.948444739999900,115.859241100000000,Harry C George. Frocer,22,icon_1915
428,-31.943781640000000,115.862791700000000,"J. H Davies, Wine Shop",22,icon_1915
364,-31.945467059999900,115.862078800000000,Jas George. Prod. Mcht,22,icon_1915
272,-31.947585709999900,115.860606700000000,Jos Richards Bootmaker,22,icon_1915
169,-31.949646779999900,115.858579900000000,K. Andros. Fish Saloon,22,icon_1915
173,-31.949660600000000,115.858735800000000,Samuel Goode. Clothier,22,icon_1915
293,-31.946798500000000,115.860514600000000,Thomas Werrett. Dealer,22,icon_1915
383,-31.944596050000000,115.861795000000000,William R Mackay. Engr,22,icon_1915
300,-31.946846420000000,115.860884799999000,Jas Tolmic. Carpenter,21,icon_1915
285,-31.946993360000000,115.860439600000000,Samuel Major. Butcher,21,icon_1915
391,-31.944485149999900,115.861924000000000,Siri Flygare. Laundry,21,icon_1915
404,-31.944415230000000,115.862470599999000,"Solomon Waten, Draper",21,icon_1915
273,-31.947310089999900,115.860015500000000,"Victor Cohen, Carrier",21,icon_1915
238,-31.948327389999900,115.859933900000000,William Brown Saddler,21,icon_1915
388,-31.944886850000000,115.862518100000000,J. C. Loong. Laundry,20,icon_1915
356,-31.945627020000000,115.862051200000000,Mrs H Gibbon. Grocer,20,icon_1915
358,-31.945444269999900,115.861753800000000,Mrs H Gibbon. Grocer,20,icon_1915
452,-31.943220579999900,115.863195600000000,Mrs J L Pitt. Draper,20,icon_1915
390,-31.944747220000000,115.862220900000000,"Sun Hun, Greengrocer",20,icon_1915
off 185/185a,-31.949449200000000,115.858552600000000,William Young.Tailor,20,icon_1915
199 (off),-31.949432659999900,115.858887300000000,Busy Bee Letter Box,19,icon_1915
340,-31.945974230000000,115.861584600000000,J C Ibbott. Butcher,19,icon_1915
350,-31.945579580000000,115.861693700000000,"Jas Feakes, Butcher",19,icon_1915
352,-31.945668049999900,115.861953300000000,"Jas Feakes, Butcher",19,icon_1915
296,-31.946971280000000,115.860821599999000,Jas R Ward. Masseur,19,icon_1915
282,-31.947386620000000,115.860528500000000,Max Bercov. Butcher,19,icon_1915
403,-31.944225690000000,115.862122900000000,Mrs A G Williamson,18,home
203,-31.948889200000000,115.859171500000000,S Lucas. Fish Shop,18,icon_1915
424,-31.944033180000000,115.862904099999000,Sydney J Armstrong,18,home
274,-31.947533610000000,115.860531400000000,Goon Goon Laundry,17,icon_1915
334,-31.946075499999900,115.861502300000000,Joseph Rosenfeldt,17,home
240,-31.948362629999900,115.860093500000000,"Lee Hang, Laundry",17,icon_1915
444,-31.943443299999900,115.863010700000000,Samuel Montgomery,17,home
395,-31.944329629999900,115.861789200000000,Thomas H Williams,17,home
199,-31.949209130000000,115.859016999999000,Thomas Robert Loy,17,home
263,-31.947580989999900,115.860048000000000,W Jackson. Cutler,17,home
449,-31.943110500000000,115.862659200000000,George F Kingman,16,home
366,-31.945324039999900,115.861871600000000,William H George,16,home
380,-31.944942550000000,115.862115900000000,James Stevenson,15,home
426,-31.944105510000000,115.863012800000000,Morris Hoffmann,15,home
433,-31.943316710000000,115.862541500000000,Mrs C J Stodart,15,home
286,-31.947134179999900,115.860705700000000,Mrs K F Rendall,15,home
346,-31.945731469999900,115.861785100000000,Robert Donald. ,15,home
378,-31.945175460000000,115.862337200000000,William Beckett,15,home
295,-31.946700759999900,115.860538500000000,Chas H Nielson,14,home
414,-31.944252140000000,115.862836400000000,Chas. H Dorney,14,home
292,-31.947048809999900,115.860762700000000,"Du Rieu, Nurse",14,icon_1915
191,-31.949210839999900,115.858756400000000,L. Con. Draper,14,icon_1915
407,-31.944140829999900,115.862182800000000,Mrs B M Vowles,14,home
386,-31.944846349999900,115.862176199999000,Mrs M A Linney,14,home
445,-31.943174710000000,115.862647100000000,Mrs Mary Dewar,14,home
437,-31.943279660000000,115.862569400000000,Edward A Sims,13,home
440,-31.943490720000000,115.862988400000000,Mrs A Moloney,13,home
399,-31.944212910000000,115.861879700000000,Mrs C Pollett,13,home
258,-31.947743580000000,115.860312200000000,Mrs H Macphie,13,home
418,-31.944073360000000,115.862758000000000,Mrs R Hoffman,13,home
455,-31.943038630000000,115.862929900000000,Jno W Hughes,12,home
397,-31.944311330000000,115.861969800000000,Mrs E Gibson,12,home
308,-31.946724180000000,115.861034500000000,Mrs J Jordan,12,home
330,-31.946151770000000,115.861584400000000,Reg Reynolds,12,home
410,-31.944424760000000,115.862813700000000,Arthur Wray,11,home
304,-31.946773830000000,115.860938800000000,Mrs H Quinn,11,home
419,-31.943838100000000,115.862198600000000,Mrs H White,11,home
451,-31.943131680000000,115.862880100000000,D Mylvanas,10,home
405,-31.944152530000000,115.862051100000000,Denis Ryan,10,home
370,-31.945346499999900,115.862228800000000,Mrs A Ward,10,home
392,-31.944779520000000,115.862393800000000,Set Long.,9,home
